country,fertility,female_percentage,0-4_female,5-9_female,10-14_female,15-19_female,20-24_female,25-29_female,30-34_female,35-39_female,40-44_female,45-49_female,50-54_female,55-59_female,60-64_female,65-69_female,70-74_female,75-79_female,80-84_female,85-89_female,90-94_female,95-99_female,0-4_male,5-9_male,10-14_male,15-19_male,20-24_male,25-29_male,30-34_male,35-39_male,40-44_male,45-49_male,50-54_male,55-59_male,60-64_male,65-69_male,70-74_male,75-79_male,80-84_male,85-89_male,90-94_male,95-99_male
Armenia,"[1.5566333832209667, 4.048175067565794]","[0.4639638681122259, 0.4956001311762134]","[0.8981103244537259, 1.0668468061689549]","[0.8777670734318134, 1.044559981030923]","[0.8614220839183838, 1.0794388019421453]","[0.8543133562578462, 1.089714268741832]","[0.8358022776770122, 1.089081203494015]","[0.8467986323144304, 1.0786714073540664]","[0.8528402592451392, 1.0834557944021053]","[0.8393084727212505, 1.0483026249369005]","[0.8334925312468245, 1.0256894641711853]","[0.8144137481731903, 1.0672165239152656]","[0.8951851771776966, 1.0834633385335413]","[0.8646215446598441, 1.0176986905846803]","[0.8293167372881356, 0.9407481982590332]","[0.8278189518263631, 0.9104401123342147]","[0.7254808203166507, 0.8322188011161359]","[0.5913084405396924, 0.7453340443361012]","[0.43370898243288036, 0.5974092599717841]","[0.28177113283496263, 0.42772732246416456]","[0.15393386545039908, 0.2750787224471435]","[0.05128205128205128, 0.15051546391752577]","[0.8699169993338552, 1.0413422194244113]","[0.8452014031949834, 1.0342930985220395]","[0.8228411523870338, 1.0370364434757524]","[0.798066749039177, 1.0420832861688614]","[0.7772270667126083, 1.0830297289419994]","[0.7881454567848015, 1.0890684975942044]","[0.8158428886831423, 1.1132333545014899]","[0.7982805783509184, 1.066171977302488]","[0.7915661304736372, 1.0037933793675726]","[0.7608559702950948, 0.9916129643669447]","[0.840700690930573, 1.0150020485990734]","[0.8078644988703619, 0.9838092809790923]","[0.7836080553895899, 0.8956752818138957]","[0.758469485824123, 0.7910467810726399]","[0.6512849564814338, 0.6805426301095282]","[0.5128381279519106, 0.5510569441575432]","[0.3666832174776564, 0.41435114503816795]","[0.21441249556265532, 0.29177861364857605]","[0.1092896174863388, 0.3133159268929504]","[0.037037037037037035, 0.2898550724637681]"
Aruba,"[1.5326668216693793, 4.971618357487923]","[0.4870916152615947, 0.5049033746755119]","[0.8917573872472784, 1.1710615280594996]","[0.725050916496945, 1.2136781218101396]","[0.6763248189096455, 1.2888576779026217]","[0.8079010856453559, 1.3329798515376459]","[0.8688897309586965, 1.5162418790604697]","[0.9515439429928741, 1.587893864013267]","[0.9045664443304259, 1.364741641337386]","[0.8514792899408284, 1.1793933054393306]","[0.8678071539657853, 1.0604703247480403]","[0.8494271685761048, 1.074642126789366]","[0.8344370860927153, 1.0795454545454546]","[0.784394250513347, 1.0785060975609757]","[0.7929354445797807, 1.0615006150061501]","[0.8020565552699229, 0.9785932721712538]","[0.6521739130434783, 0.8645066273932254]","[0.47674418604651164, 0.730804810360777]","[0.3076923076923077, 0.7071129707112971]","[0.1, 0.5922330097087378]","[0.0, 0.4]","[0.0, 0.09090909090909091]","[0.891035315424087, 1.1667763157894737]","[0.7335319430652102, 1.1987454605480357]","[0.6913171449595291, 1.2527075812274369]","[0.7538508003624282, 1.2778073443320916]","[0.8154488517745303, 1.3506672802577082]","[0.9442896935933147, 1.4509883017345704]","[0.9444787168414559, 1.3231805065726194]","[0.9189964157706093, 1.1650602409638555]","[0.8395931142410016, 1.0540455120101138]","[0.748890860692103, 1.0204372623574145]","[0.7726001863932899, 1.0083892617449663]","[0.8052580331061344, 1.013157894736842]","[0.8105670103092784, 1.007936507936508]","[0.7604617604617605, 0.9259259259259259]","[0.5964912280701754, 0.7904761904761904]","[0.3829787234042553, 0.6839237057220708]","[0.21052631578947367, 0.6540880503144654]","[0.0, 0.7142857142857143]","[0.0, 0.375]","[0.0, 0.0]"
ASIA,"[2.0343431304583093, 5.020438295724202]","[0.4768173433914205, 0.4877498012259336]","[0.9157278025569235, 0.9942834287434181]","[0.9743124748765347, 0.9985376408875289]","[0.97959613911189, 0.9957461279017001]","[0.9745414437144823, 0.9922371614031333]","[0.9698595660439336, 0.9920653699160092]","[0.9662521533855297, 0.9915634354841729]","[0.9608624629656546, 0.9912432542744722]","[0.9531989510037396, 0.9906727264865921]","[0.9447302267023724, 0.9878540317493669]","[0.9308070581670483, 0.9808513657015744]","[0.9095154836580546, 0.9731077050248571]","[0.8692736528310672, 0.9604056741911662]","[0.8036167148924906, 0.9370767167903952]","[0.7211089094966291, 0.9002016984716267]","[0.6079226836219391, 0.8399999412374174]","[0.477547098747598, 0.7503978093636882]","[0.3371138816691125, 0.6306684145402696]","[0.22183000220212917, 0.49124792143607965]","[0.12535287214133917, 0.3386234816676665]","[0.07282145940635328, 0.22516462723438202]","[0.9185196282521538, 0.9941470060275185]","[0.9747788308498923, 0.9977859851859646]","[0.9790485818638481, 0.9946023090280673]","[0.9715754155820556, 0.9922773926430445]","[0.9669564281560408, 0.9935215474792792]","[0.9636701351301048, 0.9917599801338063]","[0.9577436379465569, 0.9873314380381746]","[0.947244287425227, 0.9851197132986925]","[0.9306771728400535, 0.979635179969299]","[0.9084793814809868, 0.9695232051720765]","[0.8765335600428861, 0.9533572410298856]","[0.8242400318590892, 0.9307893908341369]","[0.750243493338792, 0.8969669364738261]","[0.6631433603371778, 0.8479479920508334]","[0.5501358660503345, 0.7723762580715089]","[0.4312782617144446, 0.6674692584254888]","[0.30566194668288044, 0.5304364345467489]","[0.1898237620576055, 0.3821019924746636]","[0.10093758910451016, 0.23720351636435913]","[0.056126167914651116, 0.15907859078590786]"
Australia,"[1.6595581506866504, 3.3004687446343333]","[0.48589711222759907, 0.48942401762219345]","[1.0226517391576988, 1.0732458998830452]","[1.0155673420223403, 1.0648053353363138]","[1.013470312648469, 1.0676569841508012]","[1.0245462115882558, 1.189234145357115]","[1.0213115469043015, 1.1672131913475736]","[1.0207958720975685, 1.1175463926219629]","[1.012218917148783, 1.0880226447059946]","[0.9868095384086202, 1.0541477639172927]","[0.9855000039871666, 1.029086223649191]","[0.9776531720936923, 1.0102080989091071]","[0.9641878750789007, 0.9999694008406423]","[0.9491995059208425, 0.9986516045145903]","[0.9117997747190857, 0.9834107680576916]","[0.850134485521346, 0.9593712660564928]","[0.7680581847165487, 0.926623463257053]","[0.6899612060164704, 0.8628368170876183]","[0.47745419778288845, 0.7477120628089011]","[0.32120826709062006, 0.5569066414870607]","[0.18126961139271058, 0.36064717026326676]","[0.08514851485148515, 0.19940234791889008]","[1.021781206343736, 1.072936019310831]","[1.0162914485718084, 1.0666749502169528]","[1.0051787371039071, 1.070398679692581]","[1.003407847284112, 1.1867295608339097]","[0.9899483909319354, 1.1442930695159537]","[1.0113416971097602, 1.1038753478655898]","[0.9946031300143434, 1.080104656041994]","[0.9797947863754007, 1.0504641088128386]","[0.9753822701862662, 1.0215985689230447]","[0.9574529199071191, 1.0090538686759076]","[0.9346893035599774, 0.9888394761049313]","[0.8940130382557149, 0.9824200307422362]","[0.8419660902762183, 0.9633816300233876]","[0.7602463547560515, 0.9348727168842366]","[0.6629742382767531, 0.8894802840514128]","[0.5691767249144298, 0.8100404114265007]","[0.4005727890687002, 0.6748111513004109]","[0.26409765874100394, 0.48831170925628764]","[0.15239043824701196, 0.31803250157721846]","[0.07575757575757576, 0.18114602587800369]"
Australia/New Zealand,"[1.6722730183295886, 3.4175665184351383]","[0.4861594015549016, 0.4893859200174401]","[1.0149064675673254, 1.059883009299931]","[1.0157033863219667, 1.0526722974307425]","[1.0109852856691837, 1.066007353012504]","[1.0071132155053948, 1.1673473346565657]","[1.012508033936319, 1.1647447203002759]","[1.0192270179780187, 1.1125517586701275]","[1.0066494384627755, 1.0733172547734244]","[0.9869585660196818, 1.0464609540659027]","[0.9815540889682619, 1.0205799568504226]","[0.9780090628014757, 1.0078293519979586]","[0.9648236057511697, 1.0000241348191987]","[0.9508275978633, 0.9967147308931495]","[0.9142092479309104, 0.9826049138392393]","[0.8528167407914243, 0.959589427578578]","[0.7635951957504485, 0.9254556681478868]","[0.6909859700464795, 0.8610613581700015]","[0.4824168392577877, 0.7434181585507285]","[0.32503838619156034, 0.5544380594900192]","[0.18935148118494796, 0.3581805749398177]","[0.09263959390862944, 0.20006392953544538]","[1.0134057096503692, 1.0587814727958125]","[1.0123393226025073, 1.0539837635190226]","[1.0008044847602235, 1.0651760392889258]","[0.9916811629586678, 1.1678343252231753]","[0.9743601601808141, 1.140386353718596]","[1.00671444204156, 1.0910168217816059]","[0.990773962070733, 1.0668556691685702]","[0.9767641709519764, 1.0457427041206688]","[0.9742197758861558, 1.0222930036409357]","[0.9590935708406867, 1.0073467493215889]","[0.9353368860031421, 0.9936206358183339]","[0.8973813072173727, 0.9803700720341036]","[0.8455702569404664, 0.9653619915443397]","[0.7637301938851205, 0.9368395635226345]","[0.6653701971430782, 0.8895723069775835]","[0.5704188149776012, 0.8084170289924123]","[0.40762614991018453, 0.6708190089317673]","[0.27293703321391705, 0.4855791051755677]","[0.15569868384206104, 0.31490947218633564]","[0.08069620253164557, 0.17761557177615572]"
Austria,"[1.3587768326632939, 2.7538788256267814]","[0.4838754894134641, 0.48988873307037006]","[0.979526703696215, 1.053793282999219]","[0.9884872415603136, 1.0437801917062464]","[0.9714496179251393, 1.0620363134911515]","[0.9545060919417804, 1.1276361908156598]","[0.966884406048683, 1.1178969729155603]","[0.9747190610140933, 1.0738239903424853]","[0.9539464127391215, 1.0512863641017391]","[0.9780407012445621, 1.0379868049284904]","[0.9760354928226387, 1.0213319575603956]","[0.9674006082157843, 1.0089128736774835]","[0.9587456054854161, 0.9966935925117518]","[0.9365640079415516, 0.9836294552256093]","[0.8997998092946398, 0.9674459517573009]","[0.8312320243112711, 0.9451909198267944]","[0.7289044656218004, 0.9156963691765804]","[0.5769615289733702, 0.8524360789539436]","[0.4055544500980699, 0.7011856056797705]","[0.25136161082686914, 0.49094843284701245]","[0.13671344499773652, 0.2848888201000877]","[0.06, 0.13726415094339622]","[0.979113977245811, 1.0548571990848934]","[0.9902828125354746, 1.0481191374141765]","[0.9827106962375182, 1.085949357716655]","[0.9499168566677524, 1.1351728295819936]","[0.9587653903366684, 1.1356654009515377]","[0.9610124290002396, 1.0925728564330413]","[0.9395711888798255, 1.0614030636286529]","[0.9642534588777864, 1.0418971345516475]","[0.9594087503866794, 1.0204604461648799]","[0.9531283749730002, 1.0026389063789896]","[0.926298828695703, 0.9851852933446251]","[0.8891406820979934, 0.9635386557295177]","[0.8357218366044359, 0.9351986368184616]","[0.7520511529168765, 0.8970733934260626]","[0.6491968025825295, 0.8546482243607596]","[0.5130517249420874, 0.775814541682652]","[0.3559753593429158, 0.6093602007956053]","[0.2087321358332241, 0.41560697658258633]","[0.10701373825018076, 0.2285107204944949]","[0.03076923076923077, 0.109]"
Azerbaijan,"[1.677808629108657, 5.2029277017425555]","[0.4631135792751954, 0.497444784280694]","[0.9618516672781937, 1.0165175605995642]","[0.971686265307364, 1.0184591914569032]","[0.9668120417737335, 1.0196259588405365]","[0.9478978106230452, 1.0523463439332905]","[0.9096589730910947, 1.044751529907715]","[0.9441634203538966, 1.0508023913062123]","[0.9510787383127809, 1.0036963784578377]","[0.9346502850154281, 0.9942461720795978]","[0.8935808332472952, 0.9900699271355052]","[0.9139074460399536, 1.0044980867866156]","[0.889642067440575, 0.9773093296404575]","[0.8529977432157508, 0.9780379897740218]","[0.8089208718225588, 1.0905090607470722]","[0.6790650546466902, 0.9796485466630879]","[0.6073153790294573, 0.8546662699593375]","[0.4975954738330976, 0.7370729134863582]","[0.3840160547751151, 0.5289544235924933]","[0.23841565988683286, 0.3397165836844121]","[0.12456506610995129, 0.1968503937007874]","[0.018518518518518517, 0.08383233532934131]","[0.9183423583182917, 0.9972653377991995]","[0.9289990471061027, 1.0115865283836256]","[0.9227318813928291, 1.0058895458271697]","[0.926432347520479, 1.0170063672809353]","[0.8444462550367385, 1.0447813442481688]","[0.8846341706539075, 1.0211007766215427]","[0.897404276628026, 1.0068032335831456]","[0.8928755617770574, 1.0106099656357388]","[0.8923060601416901, 1.008420244417429]","[0.9037118590751809, 1.0481549130084824]","[0.8468934478929219, 0.9719992533134217]","[0.8285725903185801, 0.9268590510366826]","[0.787946730057538, 1.0366963844651973]","[0.6984254616160582, 0.9407800694302634]","[0.591987933099685, 0.9167373543461762]","[0.4527022664169949, 0.8363933959578708]","[0.3137322329206786, 0.6290650406504065]","[0.17879604672057503, 0.2649942697058449]","[0.028169014084507043, 0.17524339360222532]","[0.0, 0.17073170731707318]"
Bahamas,"[1.3913382403645795, 4.705587051542823]","[0.49016065800599584, 0.5033944331296674]","[0.970906068162926, 1.146310775590905]","[0.9782994673505623, 1.0629381646317448]","[0.9679678460507887, 1.1146746224128286]","[0.9728852525525729, 1.1643708116157856]","[0.9731038192576654, 1.121982414068745]","[0.9660503182782662, 1.056798914886402]","[0.9582424431287005, 1.0538083538083538]","[0.9199265640446265, 1.0303104375458323]","[0.9179753011129745, 1.0252257863593897]","[0.9072445561139029, 1.006643467257197]","[0.878330582409809, 0.9713212387758842]","[0.8574068370803819, 1.0122405534858967]","[0.8440956118444524, 0.9676840215439856]","[0.7803617571059431, 0.9031936127744511]","[0.6742671009771987, 0.8483799159040316]","[0.5346062052505967, 0.7849462365591398]","[0.43089430894308944, 0.7931034482758621]","[0.28448275862068967, 0.6206896551724138]","[0.17647058823529413, 0.45]","[0.0, 0.2846153846153846]","[0.969867869803416, 1.157566172798402]","[0.973924977127173, 1.0553347361858]","[0.9412057797708022, 1.0743994263176766]","[0.961162411732754, 1.1956521739130435]","[0.9814573845152895, 1.2612214863870492]","[0.9717125382262997, 1.2095291167456117]","[0.9532300096008778, 1.1896095301125083]","[0.8735119047619048, 1.1350072780203784]","[0.8406906906906907, 1.0698674310283052]","[0.8257451087950265, 1.058144695960941]","[0.8030050083472454, 0.9574025974025974]","[0.7863247863247863, 0.9217687074829932]","[0.7463976945244957, 0.9532828282828283]","[0.7197231833910035, 0.846080076720211]","[0.5738095238095238, 0.7866161616161617]","[0.4044943820224719, 0.8008298755186722]","[0.2916666666666667, 0.9824561403508771]","[0.2222222222222222, 0.7755102040816326]","[0.125, 0.35714285714285715]","[0.0, 0.2]"
Bahrain,"[1.9278225266932485, 6.207088924157168]","[0.4722972584631301, 0.49694576417597336]","[0.829869208151678, 1.1395628223159868]","[0.8947997609085475, 1.0683099450884685]","[0.9169822456105838, 1.1425561570127387]","[0.9439989307671746, 1.5648340248962656]","[0.8997331835416374, 1.5519860689945058]","[0.8885140315902469, 1.417576402615174]","[0.9136322600060186, 1.1995561993404629]","[0.8942587209302325, 1.1113935752253292]","[0.8752220248667851, 1.1153641915213737]","[0.8499210110584519, 1.1509513742071882]","[0.81375, 1.163929281305576]","[0.7698776758409785, 1.0434640522875818]","[0.7704918032786885, 1.0450097847358122]","[0.6687979539641944, 0.9546511627906977]","[0.5330882352941176, 1.0305755395683454]","[0.4559748427672956, 0.8205882352941176]","[0.37593984962406013, 0.6181192660550459]","[0.25, 0.43532684283727396]","[0.0, 0.2534246575342466]","[0.0, 0.13793103448275862]","[0.887203166226913, 1.0942719813049366]","[0.9228029001299192, 1.0912723371193902]","[0.9118324071705922, 1.3650243777264564]","[1.0109622411693058, 2.2674493455537506]","[0.9140760764626376, 2.4194755667148304]","[0.8527589259368545, 1.720328164626985]","[0.8698434464632614, 1.404226152663078]","[0.8517710486938445, 1.2514152197864823]","[0.8316990883640801, 1.0937074904559216]","[0.8107773304428616, 1.0729406894920466]","[0.7787961575746893, 1.0488479726330617]","[0.6874859869959322, 1.0247046186895812]","[0.6747696218620909, 1.0416333066453163]","[0.6549210206561361, 1.0193775689958897]","[0.5223048327137546, 0.9495652173913044]","[0.42905405405405406, 0.8432432432432433]","[0.33587786259541985, 0.550620509470934]","[0.21621621621621623, 0.3640416047548291]","[0.0, 0.21678321678321677]","[0.0, 0.1111111111111111]"
Bangladesh,"[2.0298606802445356, 5.8591339425243705]","[0.48854148878536235, 0.49315074415101995]","[0.8743137220563383, 0.9929368934972108]","[0.9244566207132157, 0.9969750136203166]","[0.88371520327441, 0.9937247480219785]","[0.9301360884545371, 0.9948068448715194]","[0.9131828553479712, 1.01565148239103]","[0.9139321457262813, 0.9865899024635422]","[0.9182409400303585, 0.9868010942035146]","[0.921712827025746, 0.9859785854822031]","[0.9207971042376266, 0.9847589128411743]","[0.9049890006939363, 0.9801445335919852]","[0.8929651222836267, 0.972262611344726]","[0.8562175045770849, 0.9558048019152013]","[0.7884900812609179, 0.9253940452132033]","[0.6938963985776941, 0.8751839829813289]","[0.5465027779891924, 0.8019712803740706]","[0.37604870867694773, 0.6990871344084463]","[0.20658049353701527, 0.5584960840686032]","[0.07456878418174169, 0.39677794386314563]","[0.002805049088359046, 0.23171258667873826]","[0.0, 0.09417256922086284]","[0.8769381750968217, 0.9923243262076253]","[0.9373377241239017, 0.9967572763040248]","[0.8584085114627324, 0.9920672304292689]","[0.8945732056324717, 0.9884076851381122]","[0.8916590013647051, 0.9887848357762666]","[0.8957779765048896, 1.0037527733497167]","[0.9040019545476673, 0.9921281952226253]","[0.9077881698579188, 0.9818362555238084]","[0.9016064994648737, 0.9719698824786508]","[0.8877003434981336, 0.9627981193231995]","[0.8719109705840558, 0.9488225151229805]","[0.8358029283021525, 0.9258918788248729]","[0.7751939552714362, 0.889926513963426]","[0.6763460640494896, 0.8361553483651722]","[0.5330759782417968, 0.7511145236962189]","[0.37724361970645975, 0.6385573011319083]","[0.22265359430350307, 0.4987797395239831]","[0.09568666336142786, 0.3399091734786558]","[0.006185567010309278, 0.1774535184749353]","[0.0, 0.05841121495327103]"
Barbados,"[1.6024432346301951, 4.535896539671444]","[0.4894181387211468, 0.4981495420900765]","[0.9344485508655903, 1.0233295815000512]","[0.8896223736513345, 1.009501187648456]","[0.8326366691254815, 1.0011242757069965]","[0.7880156579343571, 1.006505387273836]","[0.7474553945635253, 1.023884021693784]","[0.8166937398475572, 1.0094959824689553]","[0.8835895414531599, 0.999335295793372]","[0.8981264637002342, 1.0376271837204838]","[0.9048537924892386, 1.0574133763094278]","[0.9072975140336809, 1.0287993773107609]","[0.9108483783351973, 0.9956273764258555]","[0.9064381658175081, 1.0137876698837895]","[0.8881955278211129, 0.9929676511954993]","[0.8126801152737753, 0.9494163424124513]","[0.718508997429306, 0.8991912732744028]","[0.5835572272971521, 0.726806640625]","[0.39846322722283206, 0.5387826086956522]","[0.24362606232294617, 0.35714285714285715]","[0.12643678160919541, 0.21476510067114093]","[0.0, 0.12222222222222222]","[0.9272310921697093, 1.022577209797657]","[0.8806285674018745, 1.0135785493296665]","[0.8102711585866886, 1.0074311771660192]","[0.7801512673753066, 0.9933823529411765]","[0.7442183748262353, 0.991224221149627]","[0.8264642082429501, 0.9888949373979314]","[0.8915604324673229, 0.9876556347770565]","[0.9223233030090973, 1.0012177795818957]","[0.9198186933416693, 1.0194992244626635]","[0.8657952871870398, 0.9902826855123675]","[0.8418662262592899, 0.9784824462061155]","[0.8572195383789587, 0.984727090635954]","[0.8358369098712446, 0.9763479145473042]","[0.7459105779716467, 0.9170281995661606]","[0.6403743315508021, 0.8414545454545455]","[0.5403225806451613, 0.6745442268737339]","[0.36363636363636365, 0.4906937394247039]","[0.21428571428571427, 0.3329369797859691]","[0.07142857142857142, 0.19913419913419914]","[0.0, 0.1111111111111111]"
Belarus,"[1.2663618594374098, 2.619693003785444]","[0.48695133247826705, 0.4934269893480085]","[0.9749007135836603, 1.0124476060916283]","[0.9823810071280754, 1.0545981108819158]","[0.9192258146599024, 1.000914262056831]","[0.8900389294237281, 0.9966457743687264]","[0.9347866194457206, 1.0227929784209433]","[0.9219773342304833, 1.0208076356381939]","[0.977263297201574, 1.0247684129267693]","[0.8346432153050991, 1.0018911501779746]","[0.8824239465536036, 1.0019514304073722]","[0.8578168159408234, 1.0068210061856822]","[0.9769815712243026, 1.03983189482732]","[0.9333548005474139, 0.9870716198605124]","[0.8391388212790879, 0.9539525500748084]","[0.6672441833449501, 0.9290091557710558]","[0.5644903782461742, 0.8307869714748128]","[0.42274409854966927, 0.7392186184018288]","[0.4018974035530327, 0.5813651317894952]","[0.3142174432497013, 0.4341645970907676]","[0.17957351290684623, 0.2983721790603034]","[0.08821548821548822, 0.23388235294117646]","[0.9694996323502646, 1.0141628327788126]","[0.984027420918516, 1.0278916372202591]","[0.9088448599555898, 1.0046925269632767]","[0.8894679445504687, 0.9847235870951555]","[0.9228011354624165, 1.018472571643388]","[0.8953219453630179, 0.9978393544095103]","[0.947916403639455, 1.0106263867052618]","[0.8206274743352551, 0.9951340704746025]","[0.8119357912617561, 0.9944548736462094]","[0.7878724702532289, 0.9760583466958301]","[0.7941708489827599, 0.9829025583763014]","[0.7886201826622921, 0.9480247026892364]","[0.6777869837865939, 0.8878784093925154]","[0.606566631086296, 0.8086643638457109]","[0.4971662328002975, 0.6967525340564271]","[0.39584376564847273, 0.5952870311959464]","[0.34083859236281955, 0.46608726498758424]","[0.2177376526818906, 0.3541853781210706]","[0.11088651458273173, 0.2939770554493308]","[0.04556962025316456, 0.1821138211382114]"
Belgium,"[1.5647546012474722, 2.579281155959039]","[0.4868004061676039, 0.4898196810373276]","[0.9988320231594803, 1.0367735577092851]","[1.0003734598804284, 1.0297504371324113]","[1.002899478908911, 1.0346063215782768]","[1.0067538119328105, 1.0799523992222606]","[0.9998215593092246, 1.0801166278216783]","[0.9955930233214272, 1.0548360341967589]","[0.9944781775352247, 1.0346347147308508]","[0.9888867675082944, 1.0230968328295102]","[0.9842509520428581, 1.0074186289438263]","[0.9752049956617908, 0.998274792138202]","[0.9613626962722746, 0.9876859928168291]","[0.9425083647808351, 0.9748345931964207]","[0.9033063034414529, 0.9620488227738875]","[0.840882487658405, 0.9426214963005254]","[0.7354574971638697, 0.9095731134353786]","[0.5962055070517126, 0.8449054694740047]","[0.4291923144997935, 0.7126375157029398]","[0.27221131915345037, 0.5115148171500631]","[0.149610021271567, 0.30357916451779265]","[0.07592190889370933, 0.14852312836708156]","[0.9987487042168386, 1.0369183988131183]","[0.9995309798535922, 1.0312054535893715]","[0.9990936524417559, 1.041317353737916]","[0.9996045161701856, 1.0647101476220577]","[0.9972469567262606, 1.0694146150199848]","[0.9760656833802689, 1.062092849713464]","[0.9796164434382655, 1.03659771649712]","[0.9764896687354736, 1.0270978414430718]","[0.9681098309013457, 1.0074055820376773]","[0.9518359457544532, 0.9955025004194494]","[0.9284894035332222, 0.9791680277985476]","[0.8946620770595981, 0.9584471832273637]","[0.8358601188261512, 0.9285628792684533]","[0.761247065088471, 0.8982129174184937]","[0.6671441888520275, 0.8496628047726094]","[0.5386744035791348, 0.7626075977099632]","[0.37202444208289054, 0.6147704433497537]","[0.2213859568609454, 0.41918639192020263]","[0.11542239685658154, 0.2396551724137931]","[0.05113636363636364, 0.11624834874504623]"
Belize,"[2.1729353810489713, 7.058391831525207]","[0.4873841514788701, 0.5]","[0.8758898589657488, 1.0613113989032785]","[0.9391202542231142, 1.0674615062009467]","[0.8988467083133109, 1.0517397881996975]","[0.8340477648499693, 1.03375]","[0.8209372814175798, 1.0323978539001237]","[0.8553419476835802, 1.0598650927487352]","[0.9002838892831796, 1.0631953716065865]","[0.8987871183605186, 1.0673854447439353]","[0.8900375939849624, 1.055475156777617]","[0.888477801268499, 1.0336215177713737]","[0.87995337995338, 1.0072057646116894]","[0.8594046865104497, 1.0085984522785898]","[0.8329637841832964, 1.0011827321111768]","[0.7924528301886793, 0.930327868852459]","[0.6952479338842975, 0.8907882241215574]","[0.5816186556927297, 0.7622282608695652]","[0.38271604938271603, 0.6103336921420882]","[0.2413793103448276, 0.474]","[0.1, 0.3270440251572327]","[0.0, 0.18518518518518517]","[0.8675013041210224, 1.0426044575872078]","[0.93703125, 1.0447354992345637]","[0.9053893637226971, 1.032365096920659]","[0.8390367553865653, 1.0420502464809644]","[0.8386019590382903, 1.0556398917563197]","[0.8855878634639697, 1.0534005037783376]","[0.9201575366988901, 1.0802742465362092]","[0.9213709677419355, 1.0832162921348314]","[0.9171686746987951, 1.0763952424519672]","[0.9089839152608866, 1.0650851581508516]","[0.8926686217008798, 1.0551346801346801]","[0.866754617414248, 1.0227894257064722]","[0.8242894056847545, 0.981267217630854]","[0.7729357798165137, 0.9144694533762058]","[0.6745867768595041, 0.8561904761904762]","[0.5459459459459459, 0.7022569444444444]","[0.3472222222222222, 0.5318559556786704]","[0.25668449197860965, 0.4125874125874126]","[0.0, 0.32]","[0.0, 0.2]"
Benin,"[3.9781626841806865, 5.692559625817486]","[0.4908037175502605, 0.5291759008980157]","[0.8538619979402677, 0.9687199075215915]","[0.9542691193469668, 0.9898232123275185]","[0.9593127089593296, 1.005862831493852]","[0.9434479684486952, 1.0270832361493367]","[0.9318656186162181, 1.0315637327785014]","[0.9276555988542908, 1.0240451751091824]","[0.9255024301417918, 1.0139445557782232]","[0.9232004951954254, 1.0015698856471273]","[0.9219681044429341, 0.9878659256157448]","[0.9145612211867727, 0.9741735093074244]","[0.8940317994026434, 0.9569980095381861]","[0.8558066232756151, 0.9320060410204778]","[0.7949967897652962, 0.8884998706956574]","[0.7029872954103239, 0.8221782371771376]","[0.5844805150332169, 0.7274580879021296]","[0.44572998168803063, 0.5996217211686825]","[0.31196537153457693, 0.4505351326198232]","[0.191796875, 0.316162109375]","[0.02830188679245283, 0.22380952380952382]","[0.0, 0.2]","[0.8491349435287439, 0.9665857452404326]","[0.9605645934569567, 0.9866249150704465]","[0.9643298690260016, 1.0000724773755283]","[0.9416216694697708, 1.015320649333427]","[0.9266193699882591, 1.0191710300319903]","[0.9272413555110773, 1.0153150056628333]","[0.9276980249947553, 1.0065440396179697]","[0.9241322235131221, 0.9945045691848149]","[0.9156806491588436, 0.9805504175774901]","[0.902052432198119, 0.9607213407251641]","[0.8793797426591884, 0.938422647502066]","[0.8430934841382047, 0.908007432312865]","[0.7866004962779156, 0.8630551173574262]","[0.6982223916282615, 0.7948207513171217]","[0.5768770309560458, 0.6981024802785871]","[0.43481581575700606, 0.5665243169285625]","[0.29205366357069146, 0.41167845437295153]","[0.1566358024691358, 0.2649644202595228]","[0.02631578947368421, 0.2764976958525346]","[0.0, 0.525]"
